,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,6,7,7,7,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,
1,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
2,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
7,6,7,8,9,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
8,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
9,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
10,6,7,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
11,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
12,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
18,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
19,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
20,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
21,6,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
27,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
28,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
29,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
30,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
35,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
36,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
