,0,1,2,3,4,5,6,7
0,"[0.024942283341902325, 0.8206603880515638, 0.8206603880515638, 0.00024942283341902326, 0.22, 0.33]","[0.0251749367724613, 0.8125434211213002, 0.8206688553325129, 0.008125434211213022, 0.33, 0.67]","[0.025174936355404205, 0.8206688562361418, 0.812543422015982, 0.008125434220159797, 0.33, 0.67]","[0.07607801998224088, 0.7575751014768233, 0.7575751014768233, 0.07543833611330192, 0.44, 0.67]","[7.464704349031115e-11, 0.6296296302393063, 0.6296296302393063, 0.6296296287147904, 0.56, 0.67]","[0.013525857606641937, 0.019037421012653974, 0.9845605912724446, 0.9826956998338162, 0.67, 1.0]","[0.013525857606194033, 0.9845605912738644, 0.019037421011785752, 0.9826956998353837, 0.67, 1.0]","[0.9279280737398442, 0.053639049507099586, 0.053639049507099586, 0.9641467132532672, 0.78, 1.0]"
1,"[0.8125434211213002, 0.0251749367724613, 0.8206688553325129, 0.008125434211213022, 0.33, 0.67]","[0.8206603880515638, 0.024942283341902325, 0.8206603880515638, 0.00024942283341902326, 0.22, 0.33]","[0.7575751014768233, 0.07607801998224088, 0.7575751014768233, 0.07543833611330192, 0.44, 0.67]","[0.8206688562361418, 0.025174936355404205, 0.812543422015982, 0.008125434220159797, 0.33, 0.67]","[0.019037421012653974, 0.013525857606641937, 0.9845605912724446, 0.9826956998338162, 0.67, 1.0]","[0.6296296302393063, 7.464704349031227e-11, 0.6296296302393063, 0.6296296287147904, 0.56, 0.67]","[0.053639049507099586, 0.9279280737398442, 0.053639049507099586, 0.9641467132532672, 0.78, 1.0]","[0.9845605912738644, 0.013525857606194033, 0.019037421011785752, 0.9826956998353837, 0.67, 1.0]"
2,"[0.024942283341902325, 0.8206603880515638, 0.8206603880515638, 0.00024942283341902326, 0.22, 0.33]","[0.0251749367724613, 0.8125434211213002, 0.8206688553325129, 0.008125434211213022, 0.33, 0.67]","[7.464704349031115e-11, 0.6296296302393063, 0.6296296302393063, 0.6296296287147904, 0.56, 0.67]","[0.013525857606641937, 0.019037421012653974, 0.9845605912724446, 0.9826956998338162, 0.67, 1.0]","[0.025174936355404205, 0.8206688562361418, 0.812543422015982, 0.008125434220159797, 0.33, 0.67]","[0.07607801998224088, 0.7575751014768233, 0.7575751014768233, 0.07543833611330192, 0.44, 0.67]","[0.013525857606194033, 0.9845605912738644, 0.019037421011785752, 0.9826956998353837, 0.67, 1.0]","[0.9279280737398442, 0.053639049507099586, 0.053639049507099586, 0.9641467132532672, 0.78, 1.0]"
3,"[0.8125434211213002, 0.0251749367724613, 0.8206688553325129, 0.008125434211213022, 0.33, 0.67]","[0.8206603880515638, 0.024942283341902325, 0.8206603880515638, 0.00024942283341902326, 0.22, 0.33]","[0.019037421012653974, 0.013525857606641937, 0.9845605912724446, 0.9826956998338162, 0.67, 1.0]","[0.6296296302393063, 7.464704349031227e-11, 0.6296296302393063, 0.6296296287147904, 0.56, 0.67]","[0.7575751014768233, 0.07607801998224088, 0.7575751014768233, 0.07543833611330192, 0.44, 0.67]","[0.8206688562361418, 0.025174936355404205, 0.812543422015982, 0.008125434220159797, 0.33, 0.67]","[0.053639049507099586, 0.9279280737398442, 0.053639049507099586, 0.9641467132532672, 0.78, 1.0]","[0.9845605912738644, 0.013525857606194033, 0.019037421011785752, 0.9826956998353837, 0.67, 1.0]"
4,"[0.022561378731438073, 0.9847107068150488, 0.9923857260831362, 0.00022561378731438109, 0.33, 0.67]","[0.022773270745165664, 0.9749702708957281, 0.9923903217292209, 0.009749702708957269, 0.44, 1.0]","[0.02231896783032713, 0.984565923845459, 0.9916242150016151, 0.0013717670131365707, 0.44, 0.67]","[0.02999831141881831, 0.9636894884734652, 0.9818900346029875, 0.02425199006321922, 0.56, 0.67]","[0.02231896783032713, 0.984565923845459, 0.9916242150016151, 0.0013717670131365707, 0.44, 0.67]","[0.02999831141881831, 0.9636894884734652, 0.9818900346029875, 0.02425199006321922, 0.56, 0.67]","[0.022776820189380143, 0.9847175765611047, 0.9825634981180451, 0.009825634981180461, 0.56, 1.0]","[0.09096510455467077, 0.9090704339699865, 0.9091113660509993, 0.0908530921783471, 0.67, 1.0]"
5,"[0.9749702708957281, 0.022773270745165664, 0.9923903217292209, 0.009749702708957269, 0.44, 1.0]","[0.9847107068150488, 0.022561378731438073, 0.9923857260831362, 0.00022561378731438109, 0.33, 0.67]","[0.9636894884734652, 0.02999831141881831, 0.9818900346029875, 0.02425199006321922, 0.56, 0.67]","[0.984565923845459, 0.02231896783032713, 0.9916242150016151, 0.0013717670131365707, 0.44, 0.67]","[0.9636894884734652, 0.02999831141881831, 0.9818900346029875, 0.02425199006321922, 0.56, 0.67]","[0.984565923845459, 0.02231896783032713, 0.9916242150016151, 0.0013717670131365707, 0.44, 0.67]","[0.9090704339699865, 0.09096510455467077, 0.9091113660509993, 0.0908530921783471, 0.67, 1.0]","[0.9847175765611047, 0.022776820189380143, 0.9825634981180451, 0.009825634981180461, 0.56, 1.0]"
6,"[0.8125434211213002, 0.0251749367724613, 0.8206688553325129, 0.008125434211213022, 0.33, 0.67]","[0.7575751014768233, 0.07607801998224088, 0.7575751014768233, 0.07543833611330192, 0.44, 0.67]","[0.8206603880515638, 0.024942283341902325, 0.8206603880515638, 0.00024942283341902326, 0.22, 0.33]","[0.8206688562361418, 0.025174936355404205, 0.812543422015982, 0.008125434220159797, 0.33, 0.67]","[0.019037421012653974, 0.013525857606641937, 0.9845605912724446, 0.9826956998338162, 0.67, 1.0]","[0.053639049507099586, 0.9279280737398442, 0.053639049507099586, 0.9641467132532672, 0.78, 1.0]","[0.6296296302393063, 7.464704349031227e-11, 0.6296296302393063, 0.6296296287147904, 0.56, 0.67]","[0.9845605912738644, 0.013525857606194033, 0.019037421011785752, 0.9826956998353837, 0.67, 1.0]"
7,"[0.024942283341902325, 0.8206603880515638, 0.8206603880515638, 0.00024942283341902326, 0.22, 0.33]","[7.464704349031115e-11, 0.6296296302393063, 0.6296296302393063, 0.6296296287147904, 0.56, 0.67]","[0.0251749367724613, 0.8125434211213002, 0.8206688553325129, 0.008125434211213022, 0.33, 0.67]","[0.013525857606641937, 0.019037421012653974, 0.9845605912724446, 0.9826956998338162, 0.67, 1.0]","[0.025174936355404205, 0.8206688562361418, 0.812543422015982, 0.008125434220159797, 0.33, 0.67]","[0.013525857606194033, 0.9845605912738644, 0.019037421011785752, 0.9826956998353837, 0.67, 1.0]","[0.07607801998224088, 0.7575751014768233, 0.7575751014768233, 0.07543833611330192, 0.44, 0.67]","[0.9279280737398442, 0.053639049507099586, 0.053639049507099586, 0.9641467132532672, 0.78, 1.0]"
8,"[0.022561378731438073, 0.9847107068150488, 0.9923857260831362, 0.00022561378731438109, 0.33, 0.67]","[0.02231896783032713, 0.984565923845459, 0.9916242150016151, 0.0013717670131365707, 0.44, 0.67]","[0.022773270745165664, 0.9749702708957281, 0.9923903217292209, 0.009749702708957269, 0.44, 1.0]","[0.02999831141881831, 0.9636894884734652, 0.9818900346029875, 0.02425199006321922, 0.56, 0.67]","[0.02231896783032713, 0.984565923845459, 0.9916242150016151, 0.0013717670131365707, 0.44, 0.67]","[0.022776820189380143, 0.9847175765611047, 0.9825634981180451, 0.009825634981180461, 0.56, 1.0]","[0.02999831141881831, 0.9636894884734652, 0.9818900346029875, 0.02425199006321922, 0.56, 0.67]","[0.09096510455467077, 0.9090704339699865, 0.9091113660509993, 0.0908530921783471, 0.67, 1.0]"
9,"[0.8125434211213002, 0.0251749367724613, 0.8206688553325129, 0.008125434211213022, 0.33, 0.67]","[0.019037421012653974, 0.013525857606641937, 0.9845605912724446, 0.9826956998338162, 0.67, 1.0]","[0.8206603880515638, 0.024942283341902325, 0.8206603880515638, 0.00024942283341902326, 0.22, 0.33]","[0.6296296302393063, 7.464704349031227e-11, 0.6296296302393063, 0.6296296287147904, 0.56, 0.67]","[0.7575751014768233, 0.07607801998224088, 0.7575751014768233, 0.07543833611330192, 0.44, 0.67]","[0.053639049507099586, 0.9279280737398442, 0.053639049507099586, 0.9641467132532672, 0.78, 1.0]","[0.8206688562361418, 0.025174936355404205, 0.812543422015982, 0.008125434220159797, 0.33, 0.67]","[0.9845605912738644, 0.013525857606194033, 0.019037421011785752, 0.9826956998353837, 0.67, 1.0]"
